"round_num","deal_count","total_value","avg_value"
1,4282,57722,13.4896003739191
2,2948,26337,8.93688496776383
3,1989,14836,7.47029204431017
4,1348,12256,9.0919881305638
5,932,8729,9.38602150537634
6,564,9878,17.5141843971631
7,381,7860,20.6842105263158
8,300,5916,19.72
9,193,5632,29.1813471502591
10,177,6910,39.0395480225989
11,127,2654,20.8976377952756
12,101,2424,24
13,70,1721,24.5857142857143
14,68,741,10.8970588235294
15,34,73,2.14705882352941
16,6,500,83.3333333333333
17,11,100,9.09090909090909
18,6,0,0
19,6,27,4.5
20,5,0,0
