"sector","exit_count","total_exit_value","avg_exit_value"
"Software & IT Services",171,22279086666443,130287056528.906
"Banking Services",49,7310806637828,149200135465.878
"Professional & Commercial Services",38,4418923382452,116287457432.947
"Healthcare Providers & Services",34,4401070744413,129443257188.618
"Pharmaceuticals",33,3887888730671,117814810020.333
"Construction & Engineering",26,3647137582675,140274522410.577
"Hotels & Entertainment Services",26,3527425147866,135670197994.846
"Machinery, Tools, Heavy Vehicles, Trains & Ships",26,3288068052896,126464155880.615
"Food & Tobacco",22,2911114392643,132323381483.773
"Personal & Household Products & Services",22,3150507923592,143204905617.818
"Freight & Logistics Services",20,2962018024762,148100901238.1
"Media & Publishing",20,2483225820408,124161291020.4
"Electric Utilities & IPPs",18,2773548084892,154086004716.222
"Specialty Retailers",18,2294770342441,127487241246.722
"Investment Banking & Investment Services",17,2140679998336,125922352843.294
"Telecommunications Services",16,1507816224777,94238514048.5625
"Textiles & Apparel",14,2037504761623,145536054401.643
"Automobiles & Auto Parts",11,1455555887977,132323262543.364
"Chemicals",11,1575248100213,143204372746.636
"Diversified Retail",10,1301464217410,130146421741
"Real Estate Operations",10,1540851526542,154085152654.2
"Healthcare Equipment & Supplies",9,1147382811256,127486979028.444
"Computers, Phones & Household Electronics",8,753908225986,94238528248.25
"Insurance",8,1112997085769,139124635721.125
"Biotechnology & Medical Research",7,958905258873,136986465553.286
"Transport Infrastructure",7,839209064662,119887009237.429
"Construction Materials",6,685123586531,114187264421.833
"Passenger Transportation Services",6,804820349962,134136724993.667
"Homebuilding & Construction Supplies",5,650732480032,130146496006.4
"Metals & Mining",5,770419305947,154083861189.4
"Financial Technology (Fintech) & Infrastructure",4,616350603626,154087650906.5
"Beverages",3,342564898609,114188299536.333
"Communications & Networking",3,222869558467,74289852822.3333
"Containers & Packaging",3,462260859357,154086953119
"Food & Drug Retailing",3,342564301583,114188100527.667
"Natural Gas Utilities",3,342555844929,114185281643
"Oil & Gas Related Equipment and Services",3,462255353598,154085117866
"Renewable Energy",3,342560180191,114186726730.333
"Investment Holding Companies",2,188474859666,94237429833
"Miscellaneous Educational Service Providers",2,308170047957,154085023978.5
"Office Equipment",2,188479051933,94239525966.5
"Oil & Gas",2,188475577563,94237788781.5
"Professional & Business Education",2,308172854760,154086427380
"Aerospace & Defense",1,154087711918,154087711918
"Coal",1,154084900474,154084900474
"Electronic Equipment & Parts",1,154082975166,154082975166
"Household Goods",1,154087862274,154087862274
"Leisure Products",1,154087212901,154087212901
"Semiconductors & Semiconductor Equipment",1,34391655342,34391655342
"Water & Related Utilities",1,34392083222,34392083222
