"sector","deal_count","total_value","avg_value"
"Technology",4960,66952,13.5147355672184
"Consumer Cyclicals",2171,26981,12.4393729829414
"Financials",1439,20066,13.9444058373871
"Industrials",1810,16177,8.94250967385296
"Healthcare",971,9027,9.30618556701031
"Utilities",245,7568,30.8897959183673
"Consumer Non-Cyclicals",1065,6463,6.06854460093897
"Real Estate",246,5327,21.6544715447154
"Basic Materials",224,2921,13.0401785714286
"Academic & Educational Services",303,2214,7.30693069306931
"Energy",100,615,6.15
"Government Activity",17,5,0.294117647058824
"Institutions, Associations & Organizations",1,0,0
