"investment_year","stage_category","deal_count","pct"
2005,"Other",103,100
2006,"Other",207,100
2007,"Other",371,100
2008,"Other",302,100
2009,"Other",181,100
2010,"Other",238,100
2011,"Other",429,100
2012,"Other",457,100
2013,"Other",385,100
2014,"Other",315,100
2015,"Other",446,100
2016,"Other",295,100
2017,"Other",326,100
2018,"Other",454,100
2019,"Other",855,100
2020,"Other",1016,100
2021,"Other",2145,100
2022,"Other",2025,100
2023,"Other",1446,100
2024,"Other",1556,100
