"investment_year","total_value","avg_value","median_value","deal_count"
2005,1124,10.9126213592233,4,103
2006,1894,9.14975845410628,3,207
2007,6525,17.5876010781671,0,371
2008,3142,10.4039735099338,0,302
2009,1700,9.39226519337017,1,181
2010,3128,13.1428571428571,3,238
2011,4137,9.64335664335664,2,429
2012,5288,11.5711159737418,3,457
2013,3341,8.76902887139108,1,381
2014,5398,17.2460063897764,3,313
2015,6096,13.7297297297297,4,444
2016,3713,12.5864406779661,1,295
2017,7178,22.0184049079755,2,326
2018,8796,19.374449339207,1,454
2019,12144,14.2368112543962,2,853
2020,35415,34.8572834645669,1,1016
2021,24262,11.3109557109557,1,2145
2022,15298,7.55456790123457,1,2025
2023,6392,4.42047026279391,0,1446
2024,9345,6.00578406169666,0,1556
